gene_id	WT_VLCO2_1	WT_VLCO2_0	WT_LoCO2_0	WT_LoCO2_1	WT_HiCO2_0	WT_HiCO2_1	cia5_VLCO2_0	cia5_VLCO2_1	cia5_LoCO2_0	cia5_LoCO2_1	cia5_HiCO2_0	cia5_HiCO2_1
Cre01.g049200	3.33271	2.88436	2.73462	4.77362	1.44481	2.24148	1.61034	1.98582	1.69791	2.02953	2.87546	2.35742
Cre01.g049250	0	0.0265843	0	0	0	0	0	0	0.028131	0.0225043	0	0
Cre01.g049300	1.86603	2.73961	2.26534	2.19606	2.89121	1.70794	2.66603	2.57253	2.01675	2.64177	2.30715	0.842616
Cre01.g049350	14.3784	18.862	25.4523	24.635	16.1537	15.9512	13.7093	12.5504	17.0836	15.8088	15.0451	18.678
Cre01.g049400	7.56923	9.81392	9.43493	8.3645	10.5023	12.5727	7.99826	6.32738	10.8524	7.59926	11.4273	13.8986
Cre01.g049450	14.2993	16.2805	15.6698	20.0348	13.1385	19.1907	11.5559	10.6592	11.7587	11.7214	14.4414	18.7488
Cre01.g049500	149.636	235.256	291.956	235.182	220.77	248.681	257.153	204.618	250.934	232.047	231.732	293.894
Cre01.g049550	7.48182	9.75435	11.8797	10.3794	14.1851	15.8546	11.0094	10.4215	12.3254	13.9728	16.2871	13.7225
Cre01.g049600	23.5675	20.4513	23.3824	30.3982	28.0334	31.4574	31.1989	30.5038	29.8285	33.0421	33.7343	34.7966
Cre01.g049650	3.67131	3.03589	2.89472	4.17674	3.75585	3.83742	2.96044	3.30004	2.95423	2.77662	3.2401	3.1779
Cre01.g049750	10.0157	6.69906	8.25098	10.2453	9.38811	11.134	13.0922	13.7525	14.0609	13.749	16.2866	16.5963
Cre01.g049826	7.2784	4.981	5.56547	9.20005	4.46502	6.41674	2.65699	2.74568	3.07104	1.75994	3.17598	1.31753
Cre01.g049900	20.1023	24.8222	27.9911	24.3832	34.3018	28.7933	22.0298	21.821	27.2266	27.9263	35.7002	35.3458
Cre01.g049950	90.3211	40.1922	19.9859	107.17	61.6341	79.8568	39.6097	38.0188	26.3911	22.3399	15.8237	15.3118
